content_id,model_prob,action,reason_code,days_since_last_update,avg_position,ctr,impressions_prev_30d,clicks_prev_30d,search_volume,competition,word_count,content_age_days
content_68548bc731c8,0.9664568397450194,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,22.3,0.59,2649,19,0.0,0.0,5758.0,144
content_77bd65aa4a62,0.9664367849593377,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,34.5,0.12,9436,8,0.0,0.0,6392.0,148
content_f2508318df4b,0.9664297136618565,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,3.1,0.0,945,0,10.0,1.0,2841.0,147
content_00acb02df998,0.9664205579953798,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,33.3,0.1,2484,1,0.0,0.0,6551.0,223
content_3f2c294ef17d,0.9664107266605604,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,23.8,0.34,3934,17,0.0,0.0,5865.0,223
content_0a7607ff8360,0.9663710898220657,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,37.1,0.08,1869,1,0.0,0.0,5503.0,144
content_3c83fd77ef27,0.966359306126422,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,39.8,0.13,6723,8,0.0,0.0,5915.0,223
content_2432fcb036bb,0.9661871157438201,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,7.2,0.0,57,0,0.0,0.0,4388.0,95
content_c7e958445a41,0.9661031132527846,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,17.3,0.5,12264,59,10.0,1.0,3862.0,140
content_a632e7e1e1ba,0.9661025930200804,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,30.8,0.24,2389,5,0.0,0.0,5012.0,144
content_a247759cb944,0.9660834937902752,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,33.2,0.03,4585,0,0.0,0.0,5896.0,144
content_00474279dd1c,0.9660357764028757,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,37.1,0.03,5845,1,0.0,0.0,6229.0,153
content_f7087ef21009,0.9659696312796406,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,34.6,0.09,3125,2,0.0,0.0,5133.0,148
content_05fef6c41585,0.9659696312796406,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,34.8,0.09,3572,3,0.0,0.0,5991.0,144
content_f8ee56435645,0.9659675920196744,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,35.6,0.08,2773,3,0.0,0.0,5686.0,144
content_81e0dfd4c3cc,0.965903081346183,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,1.3,0.0,249,0,10.0,0.19,2562.0,95
content_afd71ac0a398,0.9658980900061733,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,38.6,0.09,8275,3,0.0,0.0,5738.0,216
content_c1999429c1e7,0.9658845358549427,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,33.7,0.11,2263,5,0.0,0.0,5128.0,223
content_cdb5fc15439c,0.9658622957247847,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,23.1,0.47,3560,28,0.0,0.0,5188.0,144
content_8cb88881aa65,0.9658450693817334,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,33.1,0.07,3635,4,0.0,0.0,6249.0,223
content_3f7483504601,0.9658238464719987,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,8.0,0.0,9,0,0.0,0.0,4302.0,90
content_481a5b957b11,0.9658196882366281,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,39.5,0.12,8552,7,0.0,0.0,8217.0,223
content_0050598a9d4c,0.965765053823859,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,17.6,0.52,5440,44,0.0,0.0,6188.0,144
content_addafe3df89b,0.9657439388259265,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,5.4,0.0,3,0,2900.0,0.06,2562.0,98
content_d97c776ab1eb,0.9657099704926597,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,24.8,0.11,7168,3,0.0,0.0,4849.0,144
content_f6381c4c86c0,0.9655329803819481,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,7.7,0.0,65,0,0.0,0.0,2519.0,90
content_4706979c5848,0.9654402336270238,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,26.6,0.09,2924,0,0.0,0.0,5209.0,148
content_f6f172c354a7,0.9653876825459453,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,4.1,0.0,8,0,0.0,0.0,4256.0,96
